Date,SPY,AMZN,AAPL
2/22/2022,424.65329,150.197495,163.579971
2/23/2022,417.120544,144.826996,159.349121
2/24/2022,423.397827,151.358002,162.007095
2/25/2022,432.739685,153.788498,164.10759
2/28/2022,431.632507,153.563004,164.376373
3/1/2022,425.058624,151.141998,162.465012
3/2/2022,432.878113,152.052505,165.809891
3/3/2022,430.722992,147.898499,165.481369
3/4/2022,427.223572,145.641006,162.43515
3/7/2022,414.629364,137.453003,158.582596
3/8/2022,411.485779,136.014496,156.730957
3/9/2022,422.518066,139.279007,162.216141
3/10/2022,420.610107,146.817505,157.806107
3/11/2022,415.262054,145.524506,154.033157
3/14/2022,412.227173,141.852997,149.941666
3/15/2022,421.292236,147.366501,154.391525
3/16/2022,430.634033,153.104004,158.871262
3/17/2022,436.021667,157.238998,159.896637
3/18/2022,440.797333,161.250504,163.241486
3/21/2022,440.668427,161.491501,164.635208
3/22/2022,445.82486,164.889008,168.059708
3/23/2022,440.083374,163.408005,169.443451
3/24/2022,446.717346,163.649506,173.286072
3/25/2022,448.898926,164.773499,173.933136
3/28/2022,452.091949,168.990494,174.809189
3/29/2022,457.684723,169.315002,178.154037
3/30/2022,454.858612,166.300995,176.969406
3/31/2022,447.857758,162.997498,173.823639
4/1/2022,449.127014,163.559998,173.524979
4/4/2022,452.974487,168.346497,177.636383
4/5/2022,447.252808,164.054993,174.271606
4/6/2022,442.780579,158.755997,171.056168
4/7/2022,445.011719,157.7845,171.364746
4/8/2022,443.821808,154.460495,169.32399
4/11/2022,436.235901,151.121994,165.00354
4/12/2022,434.619507,150.787506,166.904938
4/13/2022,439.597473,155.541,169.632584
4/14/2022,434.123718,151.706497,164.545593
4/18/2022,434.302185,152.785004,164.326599
4/19/2022,441.312988,158.115494,166.646088
4/20/2022,440.985748,153.998001,166.476852
4/21/2022,434.391449,148.296005,165.670502
4/22/2022,422.472107,144.350006,161.061356
4/25/2022,424.921417,146.074005,162.146454
4/26/2022,412.615356,139.391006,156.093842
4/27/2022,413.775543,138.167007,155.864883
4/28/2022,424.227264,144.596497,162.90303
4/29/2022,408.549683,124.281502,156.940002
5/2/2022,411.008911,124.5,157.248611
5/3/2022,412.893005,124.253502,158.761765
5/4/2022,425.466797,125.928497,165.272324
5/5/2022,410.344513,116.406998,156.06398
5/6/2022,407.895203,114.772499,156.801712
5/9/2022,394.83551,108.789001,151.597595
5/10/2022,395.747803,108.859001,154.040131
5/11/2022,389.460876,105.372002,146.054504
5/12/2022,389.054321,106.930496,142.12648
5/13/2022,398.355774,113.055,146.662659
5/16/2022,396.73941,110.810501,145.097427
5/17/2022,404.900513,115.3685,148.786179
5/18/2022,388.578308,107.112503,140.391785
5/19/2022,386.198425,107.319,136.932327
5/20/2022,386.367004,107.591003,137.171585
5/23/2022,393.595978,107.556999,142.674805
5/24/2022,390.591339,104.099998,139.933167
5/25/2022,394.042206,106.775002,140.092697
5/26/2022,401.91571,111.077499,143.342758
5/27/2022,411.782379,115.1465,149.184952
5/31/2022,409.471893,120.209503,148.38739
6/1/2022,406.159882,121.683998,148.257782
6/2/2022,413.894562,125.511002,150.750183
6/3/2022,407.101898,122.349998,144.937912
6/6/2022,408.341461,124.790001,145.695602
6/7/2022,412.258362,123,148.257782
6/8/2022,407.776215,121.18,147.510071
6/9/2022,398.078125,116.150002,142.206238
6/10/2022,386.535583,109.650002,136.712997
6/13/2022,371.859528,103.669998,131.478958
6/14/2022,370.739014,102.309998,132.356277
6/15/2022,376.024353,107.669998,135.018158
6/16/2022,363.579468,103.660004,129.66449
6/17/2022,364.363251,106.220001,131.159927
6/21/2022,373.535583,108.68,135.456833
6/22/2022,372.858368,108.949997,134.938416
6/23/2022,376.513336,112.440002,137.849533
6/24/2022,388.484161,116.459999,141.229218
6/27/2022,387.000275,113.220001,141.229218
6/28/2022,379.092743,107.400002,137.022064
6/29/2022,378.784027,108.919998,138.80661
6/30/2022,375.706665,106.209999,136.304245
7/1/2022,379.680328,109.559998,138.507507
7/5/2022,380.397369,113.5,141.129517
7/6/2022,381.682129,114.330002,142.485397
7/7/2022,387.398621,116.330002,145.904968
7/8/2022,387.079956,115.540001,146.59285
7/11/2022,382.658112,111.75,144.429443
7/12/2022,379.272003,109.220001,145.416443
7/13/2022,377.280182,110.400002,145.047577
7/14/2022,376.363953,110.629997,148.018509
7/15/2022,383.554443,113.550003,149.713348
7/18/2022,380.387451,113.760002,146.622772
7/19/2022,390.665192,118.209999,150.540817
7/20/2022,393.154968,122.769997,152.574615
7/21/2022,397.158539,124.629997,154.877594
7/22/2022,393.473663,122.419998,153.621414
7/25/2022,393.951721,121.139999,152.484894
7/26/2022,389.290863,114.809998,151.139008
7/27/2022,399.399353,120.970001,156.313202
7/28/2022,404.408752,122.279999,156.871521
7/29/2022,410.304535,134.949997,162.015808
8/1/2022,409.089508,135.389999,161.01886
8/2/2022,406.390625,134.160004,159.523407
8/3/2022,412.754486,139.520004,165.624817
8/4/2022,412.475647,142.570007,165.305786
8/5/2022,411.778473,140.800003,165.076172
8/8/2022,411.300446,139.410004,164.596954
8/9/2022,409.667175,137.830002,164.646866
8/10/2022,418.27179,142.690002,168.959732
8/11/2022,418.27179,140.639999,168.210968
8/12/2022,425.352722,143.550003,171.814987
8/15/2022,427.105499,143.179993,172.903183
8/16/2022,427.942108,144.779999,172.743439
8/17/2022,424.904572,142.100006,174.260925
8/18/2022,426.139496,142.300003,173.861588
8/19/2022,420.413025,138.229996,171.235947
8/22/2022,411.658966,133.220001,167.292496
8/23/2022,410.663086,133.619995,166.953049
8/24/2022,411.977692,133.800003,167.252548
8/25/2022,417.793793,137.279999,169.748413
8/26/2022,403.651855,130.75,163.349014
8/29/2022,400.982849,129.789993,161.112747
8/30/2022,396.580902,128.729996,158.646835
8/31/2022,393.563293,126.769997,156.959625
9/1/2022,394.798248,127.82,157.69841
9/2/2022,390.635315,127.510002,155.551956
9/6/2022,389.161407,126.110001,154.274078
9/7/2022,396.152679,129.479996,155.701721
9/8/2022,398.742035,129.820007,154.204208
9/9/2022,404.936584,133.270004,157.109375
9/12/2022,409.288727,136.449997,163.159332
9/13/2022,391.491821,126.82,153.58522
9/14/2022,392.985687,128.550003,155.05278
9/15/2022,388.524017,126.279999,152.117645
9/16/2022,385.559998,123.529999,150.450424
9/19/2022,388.549988,124.660004,154.224152
9/20/2022,384.089996,122.190002,156.640152
9/21/2022,377.390015,118.540001,153.465424
9/22/2022,374.220001,117.309998,152.487045
9/23/2022,367.950012,113.779999,150.180862
9/26/2022,364.309998,115.150002,150.520309
9/27/2022,363.380005,114.410004,151.508667
9/28/2022,370.529999,118.010002,149.591843
9/29/2022,362.790009,114.800003,142.244034
9/30/2022,357.179993,113,137.971115
10/3/2022,366.609985,115.879997,142.214081
10/4/2022,377.970001,121.089996,145.858047
10/5/2022,377.089996,120.949997,146.157532
10/6/2022,373.200012,120.300003,145.189148
10/7/2022,362.790009,114.559998,139.857986
10/10/2022,360.019989,113.669998,140.187439
10/11/2022,357.73999,112.209999,138.749832
10/12/2022,356.559998,112.900002,138.110886
10/13/2022,365.970001,112.529999,142.753204
10/14/2022,357.630005,106.900002,138.150833
10/17/2022,366.820007,113.790001,142.174164
10/18/2022,371.130005,116.360001,143.511932
10/19/2022,368.5,115.07,143.62175
10/20/2022,365.410004,115.25,143.152527
10/21/2022,374.290009,119.32,147.026108
10/24/2022,378.869995,119.82,149.202484
10/25/2022,384.920013,120.599998,152.087708
10/26/2022,382.019989,115.660004,149.102661
10/27/2022,379.980011,110.959999,144.560196
10/28/2022,389.019989,103.410004,155.482086
10/31/2022,386.209991,102.440002,153.086044
11/1/2022,384.519989,96.790001,150.400497
11/2/2022,374.869995,92.120003,144.78981
11/3/2022,371.01001,89.300003,138.650009
11/4/2022,376.350006,90.980003,138.380005
11/7/2022,379.950012,90.529999,138.919998
11/8/2022,382,89.980003,139.5
11/9/2022,374.130005,86.139999,134.869995
11/10/2022,394.690002,96.629997,146.869995
11/11/2022,398.51001,100.790001,149.699997
11/14/2022,395.119995,98.489998,148.279999
11/15/2022,398.48999,98.940002,150.039993
11/16/2022,395.450012,97.120003,148.789993
11/17/2022,394.23999,94.849998,150.720001
11/18/2022,396.029999,94.139999,151.289993
11/21/2022,394.589996,92.459999,148.009995
11/22/2022,399.899994,93.199997,150.179993
11/23/2022,402.420013,94.129997,151.070007
11/25/2022,402.329987,93.410004,148.110001
11/28/2022,395.910004,93.949997,144.220001
11/29/2022,395.230011,92.419998,141.169998
11/30/2022,407.679993,96.540001,148.029999
12/1/2022,407.380005,95.5,148.309998
12/2/2022,406.910004,94.129997,147.809998
